postcode,eastings,northings,latitude,longitude
AL1,515800,206900,51.74836,-0.32237
AL10,522200,208300,51.75958,-0.2292
AL2,515100,203800,51.72064,-0.33353
AL3,512400,210100,51.77781,-0.37057
AL4,517700,209500,51.77133,-0.29398
AL5,513600,214400,51.81622,-0.35177
AL6,524200,216300,51.83104,-0.19737
AL7,525100,212500,51.79669,-0.18569
AL8,523500,213200,51.80334,-0.20863
AL9,524400,206700,51.74472,-0.19791
B1,406300,286800,52.47872,-1.90723
B10,410100,285800,52.46967,-1.8513
B11,409600,284100,52.4544,-1.85871
B12,408000,284700,52.45982,-1.88225
B13,408300,282100,52.43644,-1.8779
B14,407600,280000,52.41757,-1.88824
B15,405200,285400,52.46615,-1.92345
B16,404500,286500,52.47604,-1.93374
B17,402700,284800,52.46077,-1.96026
B18,405200,288200,52.49132,-1.92341
B19,406500,288800,52.4967,-1.90425
B2,407000,286800,52.47871,-1.89692
B20,405600,290700,52.51379,-1.91747
B21,404100,289900,52.50661,-1.93959
B23,409900,292300,52.52812,-1.85405
B24,411700,291300,52.51909,-1.82755
B25,412200,285300,52.46513,-1.8204
B26,414300,284800,52.46059,-1.78951
B27,412100,283000,52.44446,-1.82196
B28,410800,281000,52.4265,-1.84115
B29,403600,282200,52.43739,-1.94704
B3,406700,287000,52.48051,-1.90134
B30,404900,280500,52.42209,-1.92794
B31,401900,278900,52.40772,-1.97207
B32,400500,283400,52.44819,-1.99264
B33,414500,287000,52.48036,-1.78647
B34,414900,288700,52.49564,-1.78051
B35,414400,291300,52.51903,-1.78776
B36,415000,289600,52.50373,-1.77899
B37,417600,286800,52.47847,-1.74083
B38,404500,278000,52.39962,-1.93385
B4,407200,287200,52.48231,-1.89397
B40,418900,284600,52.45865,-1.72181
B42,406000,292900,52.53357,-1.91154
B43,404800,294500,52.54797,-1.92921
B44,407900,294200,52.54523,-1.88349
B45,399400,276700,52.38795,-2.00882
B46,420800,290100,52.50803,-1.69351
B47,408200,276600,52.38699,-1.8795
B48,403500,273100,52.35557,-1.9486
B49,409100,257700,52.21704,-1.86679
B5,407100,285800,52.46972,-1.89547
B50,410000,252300,52.16847,-1.85377
B6,407800,289600,52.50388,-1.88508
B60,396600,269800,52.3259,-2.04989
B61,395400,271900,52.34477,-2.06753
B62,397800,284300,52.45628,-2.03238
B63,395500,283800,52.45177,-2.06622
B64,395400,286100,52.47244,-2.06773
B65,397100,287300,52.48325,-2.04271
B66,402400,288400,52.49314,-1.96465
B67,401600,287600,52.48595,-1.97644
B68,400000,286800,52.47876,-2
B69,398100,289400,52.50213,-2.02799
B7,408700,288400,52.49307,-1.87185
B70,399800,291400,52.52012,-2.00295
B71,400700,293100,52.5354,-1.98968
B72,412100,294900,52.55145,-1.82153
B73,410700,295000,52.55238,-1.84217
B74,409600,298400,52.58297,-1.8583
B75,413000,297900,52.5784,-1.80813
B76,414500,294200,52.5451,-1.78616
B77,422500,302400,52.61855,-1.66762
B78,422100,301000,52.60598,-1.67362
B79,421600,305900,52.65005,-1.68069
B8,410800,288100,52.49034,-1.84092
B80,407100,264300,52.27641,-1.89593
B9,410300,286700,52.47776,-1.84833
B90,412000,278100,52.4004,-1.82361
B91,414800,279600,52.41382,-1.78238
B92,415400,282100,52.43628,-1.77345
B93,417500,275900,52.38048,-1.74288
B94,414200,272600,52.3509,-1.7915
B95,415000,265300,52.28524,-1.78008
B96,402700,261600,52.25217,-1.96044
B97,403100,266800,52.29893,-1.95454
B98,405900,267300,52.3034,-1.91346
BA1,375000,165900,51.39109,-2.35934
